revision_id,quality_prediction,Probability B,Probability C,Probability FA,Probability GA,Probability Start,Probability Stub
1247869012,Start,0.04040741842676666,0.11518698720206304,0.0052087580898269375,0.014551769596508026,0.7392170458235233,0.0854280208613119
1230258434,Stub,0.01364385341234896,0.025142965442747425,0.002645578739720723,0.004747597066320435,0.23702454076805007,0.7167954645708124
1173826642,Stub,0.009668294968984458,0.018266860110926514,0.002126447497688895,0.004531623317843212,0.051679972896138085,0.9137268012084189
1238177958,Start,0.11512304906506968,0.32390106287245046,0.00623305423810525,0.03316654123672161,0.5076076038033334,0.013968688784319653
1186977472,Start,0.028947250062598122,0.05552602470325254,0.003787254371120633,0.012830250333638538,0.5447715557640591,0.354137664765331
1149042387,Start,0.02546331537268393,0.06967313878646353,0.004698050659334128,0.010135994954110276,0.622761086692856,0.2672684135345521
1246019865,C,0.24563318204100665,0.4689273936880497,0.007002694858905724,0.18699668325074584,0.08395177428477436,0.007488271876517881
1127239489,Stub,0.0070375137563589395,0.013388830636637736,0.001420752316021145,0.0033595888688657313,0.05171880271847375,0.9230745117036425
1006730604,Stub,0.016714160284470436,0.04705383960581802,0.0025483341414081003,0.0042188036189342686,0.16047305445383397,0.7689918078955352
1249332314,C,0.23364639429887926,0.30222147160172735,0.012324041621673264,0.23963010363242243,0.18315872958038404,0.029019259264913822
1151924336,Stub,0.006392076253681375,0.006726792467805948,0.0011231728944349785,0.00195762647780906,0.029312115104154067,0.9544882168021146
1241821686,Start,0.13595200286687953,0.2015039802371749,0.005241993759087319,0.010893593905329542,0.6063342516607075,0.04007417757082124
1246278868,C,0.1796814277511342,0.38949619216175974,0.006368985006282121,0.06450381634246613,0.3531053398536532,0.006844238884704526
1221638129,Start,0.10628651097604513,0.23953902090827958,0.00530889914198659,0.029880837139816062,0.5635301388223125,0.055454593011560284
1174232532,B,0.4321063778541064,0.3026132340125464,0.08916486427243919,0.11281674811557844,0.054945816519558925,0.00835295922577093
1245069779,C,0.1959992217905777,0.6430547363611663,0.06430134182787653,0.07409639965763953,0.01867548632422181,0.003872814038518139
1245975915,Start,0.057191120200053264,0.2170552003012121,0.0044275224300745755,0.015860914525539963,0.680229925955485,0.02523531658763483
1129748425,Start,0.04300434157809885,0.07410309118212415,0.005273721803772782,0.014020780151079637,0.6972314626797619,0.16636660260516278
1227259218,Stub,0.007743434865384315,0.017449447619195448,0.0015783352079375961,0.0044464755560533675,0.050383410170678204,0.9183988965807511
1156977351,Stub,0.020027292908001558,0.03623044095479326,0.0030321544283715505,0.005590926888950391,0.3856312768567522,0.5494879079631311
1227721793,Start,0.11498013149018649,0.2921867596264338,0.006685001545079335,0.013483913934228153,0.5490838638934133,0.023580329510658825
994431648,C,0.15046241641772434,0.5471429935045391,0.00584895723396252,0.028951450376335668,0.25944436911437846,0.008149813353059967
1241733211,C,0.15635420296363223,0.5416044398061776,0.005119702804145641,0.009674837461966467,0.2780858635823873,0.009160953381690713
1250280459,C,0.19042068706677648,0.33522821096181604,0.016543315543690217,0.17012656723233827,0.2465247177848741,0.041156501410504955
1214165443,Start,0.199841275024914,0.27576433640218806,0.010414430093976275,0.10751874348254595,0.3717104328724037,0.03475078212397204
1098427519,Start,0.04879786860949101,0.16139008927761175,0.005949567740027468,0.012316832952423626,0.6547014109733135,0.11684423044713264
1220948663,Start,0.0754528393318211,0.14629639403868705,0.004345652026544521,0.03544445898068694,0.642255780547137,0.09620487507512353
1216518217,Start,0.048389395330796975,0.1097346589040978,0.005975852413864888,0.013530294236172335,0.6406680016021153,0.1817017975129528
1214244776,Start,0.028967483566486187,0.06001454147452713,0.004441011345488859,0.015521672254807942,0.5233612203903805,0.3676940709683095
1177418574,C,0.15323274251768912,0.6564987748895077,0.008272002036785804,0.009950156098641123,0.1685081268861004,0.0035381975712757896
1126876949,Start,0.2331682772671613,0.35217673926249443,0.005565973844723367,0.02597806600785441,0.360341855385432,0.02276908823233477
1238913743,Stub,0.010806431449818493,0.019443116842842917,0.002269940838302998,0.004941232339366646,0.11084659004433015,0.8516926884853387
1246290691,GA,0.1811223380491306,0.28385612041209063,0.010558087131361688,0.4581824279352577,0.060967747391529395,0.005313279080630108
1166428712,Start,0.07211527541326364,0.1183956719107324,0.0054526977639976345,0.010712915987526038,0.6722516287191148,0.12107181020536538
1130378402,C,0.20279853022194147,0.5730773046391417,0.010575683650826829,0.014766354417827733,0.1911457479431894,0.007636379127072698
1061580986,Start,0.02450265454644756,0.03904449284102113,0.0036293004352045215,0.006662409616461623,0.5741916697349125,0.3519694728259528
1243748348,C,0.23243290865055063,0.37007297001155187,0.017573938099035836,0.30747732091818786,0.06567493988963118,0.006767922431042538
1250280157,Start,0.05507899316624545,0.22106483162595728,0.0050256971619413345,0.013724099505040575,0.6441926661898795,0.060913712350935977
1168959559,Start,0.03245102599934192,0.03278820203910743,0.0045278314118890545,0.007044457014151862,0.5742384038082996,0.3489500797272099
1060518774,Start,0.07997815857920955,0.2516738337587031,0.004072264556579318,0.007495162986445501,0.6346169705475504,0.022163609571512043
1106343655,Stub,0.0073020414387109005,0.009546365268533676,0.0014052321189663179,0.003020674919607427,0.04298272191247492,0.9357429643417068
1152791145,Start,0.06682009661780744,0.2156955829842511,0.0044869146729403005,0.010485639785204826,0.6603477862544007,0.04216397968539563
1245384737,Stub,0.013049466000632505,0.026165521333985024,0.0022168404204355877,0.005261855194506015,0.2380255780744566,0.7152807389759843
1154766714,Start,0.2636376485402433,0.29791361971335045,0.006054014170025074,0.020871874143403486,0.39269314249293685,0.01882970094004096
1183327657,Start,0.043534379114708234,0.10937439207493206,0.004300815050219175,0.015128589135369925,0.6859198046066124,0.14174202001815814
1247775262,C,0.32509934607760305,0.46744821952521776,0.012590480680835351,0.08056271687857558,0.09938963955091742,0.014909597286850824
1174623790,Stub,0.008575243161825254,0.012679893062324607,0.0017331402234445686,0.0037396273475304555,0.0422487401280866,0.9310233560767885
1245187366,Stub,0.008379787160083077,0.013066736761680181,0.0016450373064624297,0.0034695646853249986,0.06268272401779658,0.9107561500686528
1240230934,Start,0.034164333311538675,0.18016554378342045,0.00398643747453476,0.007051063463413385,0.6960397178306383,0.07859290413645441
1179931463,Start,0.026246749321098384,0.09000528669150484,0.004217157783671989,0.009106528556018675,0.7038135790090253,0.16661069863868086
